(11.88514183151794+1.395042726236702j),(-0.033225972935705124-0.01448446855893836j),(-0.02543051707110021-0.012291673628243932j),(0.013018877107195917+0.004072200946989138j),(0.0003830069290337579-0.01199370802194025j),(-0.034396055330503814-0.0378369728374911j),(0.009527430801073322+0.011859276868239677j),(0.0049361198113494365-0.016144761768936117j),(-0.05482196507515463-0.04332343789141732j),(0.037398284518784616+0.05485673288979266j),(0.013616859994009176+0.07883707484357913j),(0.024212044445254557-0.017991064217385028j),(0.9987104981907956+0j),0j,0j
(11.92072108713976+1.4037898074981814j),(-0.003428231004138778-0.000732125703722615j),(0.011718594864854973+0.020201711015117342j),(0.012921637442525488+0.024881026377986545j),(0.04893992382986165+0.03987583992982997j),(0.03193003069415445-0.0013465521268555894j),(0.033949108324691224-0.009065724579660511j),(0.0037266322083070492+0.012423330865720492j),(0.0543512133913128+0.050261822532822006j),(-0.033502449805985136-0.05523695108568323j),(-0.01085739907879472-0.007746859134818629j),(-0.005252391297375567-0.012539309043683278j),(0.9987104981907956+0j),0j,0j
(11.859209096146722+1.4696588381404316j),(-0.06652079243229642+0.0042637932827379j),(-0.02194133573281904+0.005288683956961936j),(0.022408350691609985-0.0290389206162721j),(0.05163383341383952+0.026644003891186187j),(-0.0006887743854121688-0.026654810200543503j),(0.06332918667627417+0.009542945042738199j),(-0.06353534890951248+0.050543595261876385j),(-0.06407533764685212-0.0006541915007859736j),(0.015513136891027927+0.022301660461096506j),(-0.001572306791166194-0.011822795161788462j),(-0.003509045429386737+0.006985253611360494j),(0.9987104981907956+0j),0j,0j
(11.873515021899207+1.370493075866554j),(-0.005682854079587369-0.029639905253080884j),(0.008638730582971876-0.051807541100009034j),(-0.008525105832888472+0.007041755555358534j),(0.02120911589574703-0.023365007324880428j),(-0.027151343090893898-0.013755658675183233j),(0.015813035766967246+0.025529605258546327j),(0.005542228345869845+0.003833708090886812j),(0.032377392591495635+0.04055071132501118j),(-0.04124439779010146-0.015824561217417973j),(0.015772668062579095-0.015510692495746436j),(-0.023398249973610022-0.0239406769160355j),(0.9987104981907956+0j),0j,0j
(11.892276833627864+1.3915999006146065j),(-0.00986840264535345-0.03201823032004625j),(-0.04427345450173652+0.04275017602317639j),(-0.018093142419200875+0.050080669677591366j),(0.02237484805779564+0.023296477924321938j),(0.0017444707854990943-0.027794771133545414j),(-0.040481163766109995+0.01703934472189364j),(-0.04840574488017485-0.030689478608626742j),(-0.04911159449872302+0.03376751252066495j),(0.08594539126011388+0.007336998784667724j),(0.05179057886411691+0.002350128336752369j),(0.07333111151704388+0.0025261391526507256j),(0.9987104981907956+0j),0j,0j
(11.861854790256398+1.416638849451289j),(0.028498084106449544-0.04635948523173215j),(-0.03588160340009897-0.018870737318034615j),(-0.024029925674925484-0.03214131961949383j),(0.022871782534800558+0.030480441563701048j),(0.04768672009296899-0.02914538279088027j),(0.002158115018134011-0.010722738162334378j),(0.05113109136037485+0.036555202345196096j),(-0.023336608537120454+0.009161660817015813j),(-0.035340256606495944-0.0907110917895105j),(0.013362406701776054-0.037174358814317195j),(-0.0019065910278287454-0.04056421552414812j),(0.9987104981907956+0j),0j,0j
(11.930702467976877+1.4359625720082334j),(-0.041340758135142645-0.023489581097894466j),(0.04550136641672184-0.008162410178664002j),(0.020891065858494817+0.015347353291935484j),(-0.017280356667716677+0.04476851984658555j),(-0.005101656158632839-0.000246288575239425j),(0.006569041214443905+0.023235222336732416j),(-0.0054078162946848045+0.02795606706389782j),(-0.10043965063486879-0.01851113525101896j),(0.05728452476689432-0.006877165260992689j),(-0.041491487961967194-0.002484703623078569j),(-0.01089608956217723+0.052792234635007096j),(0.9987104981907956+0j),0j,0j
(11.889370893974379+1.3799194022180057j),(-0.013369959872627747-0.046038872834912065j),(0.007575546714495666-0.012037869074344j),(0.07876146271237003+0.0036483903748830426j),(0.027469410842967616+0.0013153580015433826j),(0.007759258419760951-0.015460325390244806j),(-0.015560687308588946-0.010680306316259932j),(0.011365148623007578-0.05636701533807105j),(0.026362419986844184+0.03540306202522768j),(-0.017171902091237284-0.03576551933757935j),(0.018270418907765488+0.01640215844708813j),(-0.03531187475754188-0.03774482476838624j),(0.9987104981907956+0j),0j,0j
(11.895581026410348+1.4262948921390701j),(0.05879891337846718-0.029475940800229708j),(0.014697637392646554-0.015057446807850325j),(-0.01789393931249117+0.03824408653019287j),(0.011218142880062683+0.01818687580370619j),(-0.020982473561799064+0.01283910752332683j),(0.011527926482559184+0.015260727854764924j),(-0.03481827484164543-0.005938895168771618j),(-0.012128167103683314+0.03540388755013753j),(0.0290314220861122+0.001028684924838345j),(0.043202611827253115-0.0079866035505002j),(0.035775467128406194+0.04386159340544525j),(0.9987104981907956+0j),0j,0j
(11.893503002894725+1.3778228394917722j),(-0.028949210807379208-0.05030885565966863j),(0.002321692610525443+0.027146812521969654j),(0.0003853947604847696+0.005254637647097618j),(-0.026892655806931016-0.04165093740707915j),(0.005761604214177797-0.0388791546080281j),(0.037487005755939995-0.02048373981490245j),(0.024100347790210388+0.0020531494861150156j),(0.028514100105324743-0.03281461033207711j),(-0.04101278675571945+0.009183306494395312j),(-0.0279486624617165+0.01325887640508899j),(0.0103975241481408+0.00980340330473639j),(0.9987104981907956+0j),0j,0j
